Month,Race/Ethnicity,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2020-07,AAPI,0,0,0,0,1,4
2020-07,BLACK,1,0,0,0,0,1
2020-07,LATINO,0,0,0,0,0,3
2020-07,WHITE,0,0,2,0,0,1
2020-08,AAPI,0,0,0,0,0,1
2020-08,BLACK,1,0,1,0,0,5
2020-08,LATINO,0,0,0,0,0,4
2020-08,WHITE,0,0,0,0,1,3
2020-09,BLACK,0,0,0,0,0,4
2020-09,LATINO,0,0,1,0,0,2
2020-09,UNKNOWN,0,0,0,0,1,0
2020-09,WHITE,1,0,0,0,0,3
2020-10,AAPI,1,0,0,0,0,1
2020-10,BLACK,0,0,0,0,0,3
2020-10,LATINO,0,0,0,0,0,3
2020-10,WHITE,0,0,1,0,0,5
2020-11,AAPI,0,0,2,0,0,0
2020-11,BLACK,1,0,1,0,0,1
2020-11,LATINO,0,0,0,0,0,5
2020-11,UNKNOWN,0,0,0,0,0,3
2020-11,WHITE,0,0,0,0,0,5
2020-12,AAPI,0,0,0,0,0,3
2020-12,BLACK,0,0,0,0,1,4
2020-12,LATINO,0,0,0,0,0,10
2020-12,UNKNOWN,0,0,0,0,0,4
2020-12,WHITE,0,0,0,0,1,10
2021-01,BLACK,0,0,1,0,0,8
2021-01,LATINO,0,0,2,0,0,7
2021-01,WHITE,0,0,0,0,1,3
2021-02,BLACK,0,0,1,0,0,2
2021-02,LATINO,0,0,0,0,1,1
2021-02,WHITE,0,0,0,0,0,4
2021-03,AAPI,0,0,0,0,0,1
2021-03,BLACK,0,0,0,0,0,3
2021-03,LATINO,0,0,0,0,0,8
2021-04,LATINO,1,0,0,1,0,0
2021-04,WHITE,0,0,0,0,0,1
2021-05,BLACK,1,0,0,0,0,2
2021-05,LATINO,0,0,0,0,1,1
2021-05,UNKNOWN,0,0,0,0,0,1
2021-05,WHITE,2,0,0,0,1,3
2021-06,BLACK,0,0,0,0,0,3
2021-06,LATINO,1,0,0,0,0,3
2021-06,UNKNOWN,0,0,0,0,0,1
2021-06,WHITE,0,0,0,0,0,3
2021-07,BLACK,0,0,0,0,0,5
2021-07,INDIGENOUS,0,0,0,0,0,1
2021-07,LATINO,1,0,0,0,0,1
2021-07,WHITE,0,0,0,0,0,6
2021-08,BLACK,2,0,0,0,2,0
2021-08,LATINO,0,0,1,0,0,2
2021-08,WHITE,0,0,0,0,0,1
2021-09,BLACK,2,0,0,0,0,0
2021-09,LATINO,0,0,0,0,0,1
2021-09,WHITE,0,0,1,0,0,2
2021-10,AAPI,0,0,0,0,1,0
2021-10,BLACK,0,0,0,0,0,1
2021-10,LATINO,0,0,0,0,0,2
2021-10,UNKNOWN,0,0,0,0,1,0
2021-10,WHITE,0,0,0,0,0,2
2021-11,LATINO,0,0,0,0,0,2
2021-11,UNKNOWN,0,0,0,0,0,1
2021-11,WHITE,0,0,0,0,1,4
2021-12,BLACK,0,0,0,0,0,4
2021-12,LATINO,1,0,0,0,0,4
2021-12,UNKNOWN,0,0,0,0,0,3
2021-12,WHITE,2,0,0,0,0,1
2022-01,LATINO,1,0,1,0,0,2
2022-01,UNKNOWN,0,0,0,0,0,1
2022-01,WHITE,0,0,0,0,0,2
2022-02,BLACK,0,0,0,0,0,4
2022-02,LATINO,0,0,0,0,0,3
2022-02,UNKNOWN,1,0,0,0,0,2
2022-02,WHITE,0,0,0,0,2,4
2022-03,AAPI,0,0,0,0,0,1
2022-03,BLACK,0,0,0,0,0,4
2022-03,LATINO,0,0,0,0,0,1
2022-03,UNKNOWN,0,0,0,0,0,2
2022-03,WHITE,0,0,0,0,0,4
2022-04,BLACK,1,0,0,0,1,2
2022-04,LATINO,1,0,0,0,0,1
2022-04,UNKNOWN,0,0,0,0,0,2
2022-04,WHITE,1,0,0,0,0,3
2022-05,BLACK,0,0,0,0,1,1
2022-05,LATINO,0,0,0,0,0,2
2022-05,WHITE,1,0,0,0,0,1
2022-06,BLACK,0,0,0,0,0,3
2022-06,LATINO,0,0,0,1,0,2
2022-06,UNKNOWN,0,0,0,0,1,3
2022-06,WHITE,0,0,0,0,0,3
2022-07,AAPI,0,0,0,0,1,0
2022-07,BLACK,2,0,2,0,1,0
2022-07,LATINO,1,0,0,0,0,2
2022-07,UNKNOWN,0,0,0,0,0,1
2022-07,WHITE,0,1,0,0,0,3
2022-08,AAPI,0,0,0,0,0,1
2022-08,BLACK,1,0,0,0,0,1
2022-08,INDIGENOUS,0,0,1,0,0,1
2022-08,LATINO,0,0,2,1,2,5
2022-08,UNKNOWN,0,0,0,0,0,1
2022-08,WHITE,2,0,0,0,2,2
2022-09,BLACK,1,0,0,0,0,3
2022-09,LATINO,0,0,0,1,0,2
2022-09,UNKNOWN,0,0,0,0,0,1
2022-09,WHITE,1,0,0,0,0,9
