Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2020-07,AAPI,ARREST,9,0,0,0,0,1,4
2020-07,AAPI,CITATION/SUMMONS,0,0,0,0,1,1,55
2020-07,AAPI,NO ENFORCEMENT ACTION,0,0,1,0,0,1,0
2020-07,AAPI,WARNING ISSUED,0,0,4,0,0,1,31
2020-07,BLACK,ARREST,89,1,0,0,0,5,9
2020-07,BLACK,CITATION/SUMMONS,11,0,2,0,1,1,175
2020-07,BLACK,NO ENFORCEMENT ACTION,2,0,0,0,1,3,2
2020-07,BLACK,WARNING ISSUED,1,0,9,0,1,0,72
2020-07,INDIGENOUS,ARREST,1,0,0,0,0,0,0
2020-07,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,1
2020-07,LATINO,ARREST,90,0,0,0,0,4,24
2020-07,LATINO,CITATION/SUMMONS,14,0,24,0,11,0,178
2020-07,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,5,2
2020-07,LATINO,WARNING ISSUED,1,0,10,0,0,0,65
2020-07,UNKNOWN,ARREST,0,0,0,0,0,1,1
2020-07,UNKNOWN,CITATION/SUMMONS,4,0,1,33,5,0,110
2020-07,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,0,0
2020-07,UNKNOWN,WARNING ISSUED,0,0,5,0,1,0,18
2020-07,WHITE,ARREST,90,1,3,0,0,6,25
2020-07,WHITE,CITATION/SUMMONS,14,0,10,0,8,0,361
2020-07,WHITE,NO ENFORCEMENT ACTION,1,0,0,0,0,6,2
2020-07,WHITE,WARNING ISSUED,0,0,17,0,3,2,134
2020-08,AAPI,ARREST,17,0,0,0,0,1,4
2020-08,AAPI,CITATION/SUMMONS,5,0,3,0,0,0,64
2020-08,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,1,1,0
2020-08,AAPI,WARNING ISSUED,0,0,3,0,2,0,33
2020-08,BLACK,ARREST,120,1,2,0,0,3,13
2020-08,BLACK,CITATION/SUMMONS,8,0,13,0,1,2,180
2020-08,BLACK,NO ENFORCEMENT ACTION,0,0,0,0,0,4,0
2020-08,BLACK,WARNING ISSUED,2,0,11,0,0,1,100
2020-08,INDIGENOUS,ARREST,1,0,0,0,0,0,0
2020-08,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,2
2020-08,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,2
2020-08,LATINO,ARREST,115,1,1,0,0,6,26
2020-08,LATINO,CITATION/SUMMONS,36,0,25,0,4,1,223
2020-08,LATINO,WARNING ISSUED,0,0,16,0,1,1,61
2020-08,UNKNOWN,ARREST,3,0,0,0,0,1,1
2020-08,UNKNOWN,CITATION/SUMMONS,4,0,2,4,2,0,47
2020-08,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,2,0
