Month,Race/Ethnicity,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2020-07,AAPI,5,0,0,1,1,7
2020-07,BLACK,48,1,0,0,1,8
2020-07,INDIGENOUS,1,0,0,0,0,0
2020-07,LATINO,61,0,0,0,1,27
2020-07,UNKNOWN,1,0,0,0,0,1
2020-07,WHITE,56,0,6,1,5,16
2020-08,AAPI,11,0,0,0,1,7
2020-08,BLACK,60,1,2,0,2,19
2020-08,LATINO,88,1,2,0,4,35
2020-08,UNKNOWN,0,0,0,0,1,1
2020-08,WHITE,67,0,0,0,5,34
2020-09,AAPI,11,0,0,0,1,5
2020-09,BLACK,73,0,1,1,8,25
2020-09,LATINO,84,0,3,2,10,45
2020-09,UNKNOWN,1,0,1,1,1,2
2020-09,WHITE,63,0,1,0,9,19
2020-10,AAPI,8,0,0,0,1,9
2020-10,BLACK,59,0,2,0,12,43
2020-10,LATINO,55,0,4,0,4,39
2020-10,UNKNOWN,1,0,1,1,0,0
2020-10,WHITE,45,0,3,0,5,26
2020-11,AAPI,4,0,2,0,1,9
2020-11,BLACK,23,0,3,0,11,19
2020-11,LATINO,38,0,2,1,7,27
2020-11,UNKNOWN,1,0,0,0,0,6
2020-11,WHITE,36,0,1,0,8,29
2020-12,AAPI,8,0,0,0,0,6
2020-12,BLACK,32,0,2,0,7,41
2020-12,LATINO,37,0,0,1,19,52
2020-12,UNKNOWN,1,0,0,0,0,8
2020-12,WHITE,28,0,0,1,5,30
2021-01,AAPI,5,0,0,0,0,0
2021-01,BLACK,62,0,3,0,7,27
2021-01,LATINO,33,0,5,0,11,33
2021-01,WHITE,22,0,0,0,10,21
2021-02,AAPI,5,0,0,0,0,2
2021-02,BLACK,33,0,3,0,10,10
2021-02,LATINO,29,0,1,0,13,28
2021-02,WHITE,19,0,0,0,5,21
2021-03,AAPI,4,0,0,0,0,6
2021-03,BLACK,21,0,0,0,4,12
2021-03,LATINO,39,0,0,0,2,30
2021-03,UNKNOWN,0,0,0,0,0,2
2021-03,WHITE,19,0,0,0,3,14
2021-04,AAPI,11,0,0,0,0,0
2021-04,BLACK,23,0,0,0,4,9
2021-04,LATINO,32,0,0,1,12,22
2021-04,UNKNOWN,1,0,0,0,0,1
2021-04,WHITE,26,0,0,0,4,21
2021-05,AAPI,8,0,0,0,1,3
2021-05,BLACK,18,0,0,0,8,28
2021-05,LATINO,42,0,0,0,6,28
2021-05,UNKNOWN,0,0,0,0,0,1
2021-05,WHITE,29,0,4,0,3,18
2021-06,AAPI,2,0,0,0,1,0
2021-06,BLACK,21,0,0,0,2,14
2021-06,LATINO,27,0,0,0,4,19
2021-06,UNKNOWN,2,0,0,0,0,2
2021-06,WHITE,20,0,0,0,5,20
2021-07,AAPI,1,0,0,0,0,1
2021-07,BLACK,1,0,0,0,2,10
2021-07,INDIGENOUS,0,0,0,0,0,1
2021-07,LATINO,12,1,0,0,5,17
2021-07,WHITE,4,1,0,0,2,14
2021-08,AAPI,0,1,0,0,0,0
2021-08,BLACK,4,0,0,0,3,5
2021-08,LATINO,8,1,1,0,1,15
2021-08,UNKNOWN,1,0,0,0,0,1
2021-08,WHITE,6,1,0,0,0,6
2021-09,AAPI,1,0,0,0,0,1
2021-09,BLACK,5,0,1,0,0,4
2021-09,LATINO,10,0,1,1,2,9
2021-09,UNKNOWN,0,0,0,0,0,1
2021-09,WHITE,6,0,2,0,1,10
2021-10,AAPI,1,0,0,0,1,3
2021-10,BLACK,0,0,0,0,1,6
2021-10,LATINO,7,0,0,0,3,13
2021-10,UNKNOWN,0,0,0,0,2,3
2021-10,WHITE,5,0,0,0,2,10
2021-11,AAPI,0,0,0,0,0,3
2021-11,BLACK,2,0,0,0,0,4
2021-11,LATINO,6,0,1,0,1,16
2021-11,UNKNOWN,0,0,0,0,0,4
2021-11,WHITE,9,0,0,0,3,15
2021-12,AAPI,0,0,0,0,0,3
2021-12,BLACK,1,0,0,0,2,9
2021-12,LATINO,13,0,2,0,2,20
2021-12,UNKNOWN,0,0,0,0,0,5
2021-12,WHITE,5,0,1,0,0,15
2022-01,AAPI,1,0,0,0,0,1
2022-01,BLACK,2,0,0,0,2,6
2022-01,LATINO,13,0,2,0,2,16
