Year,Month,Charges,Arrests
2016,1,3094,2416
2016,2,3451,2616
2016,3,3842,3015
2016,4,3377,2630
2016,5,3091,2345
2016,6,3017,2114
2016,7,2689,1853
2016,8,2697,1944
2016,9,2651,1862
2016,10,2861,1967
2016,11,2641,1824
2016,12,3073,2119
2017,1,2852,1904
2017,2,2566,1793
2017,3,2821,1954
2017,4,2673,1902
2017,5,2691,1877
2017,6,2870,1992
2017,7,2803,1994
2017,8,3028,2068
2017,9,2869,1986
2017,10,2794,2018
2017,11,2629,1797
2017,12,2991,2029
2018,1,2388,1744
2018,2,2475,1701
2018,3,2925,1951
2018,4,2763,1974
2018,5,2846,1983
2018,6,2686,1914
2018,7,2806,1911
2018,8,2993,1975
2018,9,2635,1811
2018,10,2527,1806
2018,11,2425,1679
2018,12,2902,1817
2019,1,2579,1736
2019,2,2351,1606
2019,3,2635,1801
2019,4,2585,1784
2019,5,2693,1805
2019,6,2708,1892
2019,7,2739,1892
2019,8,2653,1832
2019,9,2715,1814
2019,10,2605,1715
2019,11,2344,1582
2019,12,2591,1735
2020,1,2661,1737
2020,2,2553,1716
2020,3,2152,1394
2020,4,1359,822
2020,5,1580,966
2020,6,1106,722
2020,7,1324,837
2020,8,1510,965
2020,9,1440,969
2020,10,1699,1071
2020,11,1288,879
2020,12,1533,999
2021,1,1465,932
2021,2,1379,863
2021,3,1788,1091
2021,4,1487,962
2021,5,1579,1038
2021,6,1473,901
2021,7,1680,1009
2021,8,1641,1014
2021,9,1609,1041
2021,10,1661,1042
2021,11,1527,951
2021,12,1795,1114
2022,1,1641,1021
2022,2,1792,1041
2022,3,2030,1257
2022,4,1952,1241
2022,5,1938,1214
2022,6,2119,1332
2022,7,2427,1416
2022,8,2285,1365
2022,9,2349,1402
2022,10,2212,1296
2022,11,2393,1380
2022,12,2451,1443
2023,1,69,43
2023,1,2629,1523
2023,2,2385,1441
2023,3,2729,1601
2023,4,2265,1405
2023,5,2503,1534
2023,6,2664,1577
2023,7,2801,1656
2023,8,2994,1681
2023,9,2673,1552
2023,10,2537,1499
2023,11,2909,1559
2023,12,3045,1794
2024,1,2914,1681
2024,2,2853,1680
2024,3,3177,1805
2024,4,3028,1693
2024,5,3043,1780
2024,6,2843,1707
2024,7,2964,1787
2024,8,2992,1755
2024,9,2427,1464
2024,10,2592,1511
2024,11,2418,1443
2024,12,2608,1513
2025,1,2231,1295
2025,2,2242,1341
2025,3,2656,1531
2025,4,2507,1468
2025,5,2419,1419
2025,6,2712,1523
2025,7,2869,1614
2025,8,2564,1445
2025,9,2438,1355
2025,10,2363,1387
2025,11,2284,1337
2025,12,2577,1468
