Year,Month,Total
2022,1,632
2023,1,854
2024,1,916
2025,1,798
2026,1,836
2022,2,639
2023,2,816
2024,2,883
2025,2,812
2026,2,713
2022,3,866
2023,3,918
2024,3,964
2025,3,917
2026,3,949
2022,4,797
2023,4,867
2024,4,929
2025,4,893
2026,4,
2022,5,892
2023,5,940
2024,5,972
2025,5,885
2026,5,
2022,6,794
2023,6,889
2024,6,854
2025,6,865
2026,6,
2022,7,781
2023,7,948
2024,7,892
2025,7,980
2026,7,
2022,8,790
2023,8,913
2024,8,934
2025,8,943
2026,8,
2022,9,814
2023,9,863
2024,9,841
2025,9,895
2026,9,
2022,10,883
2023,10,983
2024,10,997
2025,10,904
2026,10,
2022,11,777
2023,11,889
2024,11,960
2025,11,919
2026,11,
2022,12,839
2023,12,862
2024,12,916
2025,12,880
2026,12,
